排行 - 股票名稱(代號),排行,證券商名稱,總買量(張),總賣量(張),剩餘量(張)
1 - 高鋒(4510),1,元大,31848,31619,229
1 - 高鋒(4510),2,富邦,13012,13882,-870
1 - 高鋒(4510),3,凱基,13478,13294,184
1 - 高鋒(4510),4,永豐金,9373,9117,256
1 - 高鋒(4510),5,國泰綜合,9310,9012,298
1 - 高鋒(4510),6,元富,5651,12164,-6513
1 - 高鋒(4510),7,群益,8317,7494,823
1 - 高鋒(4510),8,星洲瑞銀,6304,6196,108
1 - 高鋒(4510),9,華南永昌,6133,6277,-144
1 - 高鋒(4510),10,台新,4730,4460,270
2 - 新盛力(4931),1,元大,15334,15047,287
2 - 新盛力(4931),2,凱基,8197,8696,-499
2 - 新盛力(4931),3,富邦,5661,6533,-872
2 - 新盛力(4931),4,永豐金,4228,3786,442
2 - 新盛力(4931),5,國泰綜合,4094,3653,441
2 - 新盛力(4931),6,群益,3711,3242,469
2 - 新盛力(4931),7,華南永昌,2847,2729,118
2 - 新盛力(4931),8,台新,2486,2446,40
2 - 新盛力(4931),9,元富,2663,2168,495
2 - 新盛力(4931),10,兆豐,1821,2467,-646
3 - 正德(2641),1,元大,14808,16503,-1695
3 - 正德(2641),2,富邦,7604,7498,106
3 - 正德(2641),3,凱基,6099,6652,-553
3 - 正德(2641),4,永豐金,5106,3747,1359
3 - 正德(2641),5,群益,4047,3252,795
3 - 正德(2641),6,國泰綜合,3049,2660,389
3 - 正德(2641),7,元富,2490,2670,-180
3 - 正德(2641),8,華南永昌,2158,2549,-391
3 - 正德(2641),9,統一,1679,2380,-701
3 - 正德(2641),10,台新,2099,1486,613
4 - 彬台(3379),1,元大,13179,12116,1063
4 - 彬台(3379),2,群益,4718,5754,-1036
4 - 彬台(3379),3,凱基,3687,4992,-1305
4 - 彬台(3379),4,富邦,3812,3364,448
4 - 彬台(3379),5,永豐金,3537,3087,450
4 - 彬台(3379),6,國泰綜合,2995,2442,553
4 - 彬台(3379),7,統一,1948,2539,-591
4 - 彬台(3379),8,元富,1902,1761,141
4 - 彬台(3379),9,台新,1452,1330,122
4 - 彬台(3379),10,華南永昌,1436,1189,247
5 - 加百裕(3323),1,元大,8413,7802,611
5 - 加百裕(3323),2,凱基,3444,5554,-2110
5 - 加百裕(3323),3,富邦,2923,2996,-73
5 - 加百裕(3323),4,國泰綜合,2876,2317,559
5 - 加百裕(3323),5,永豐金,2428,2188,240
5 - 加百裕(3323),6,群益,2290,1953,337
5 - 加百裕(3323),7,元富,1671,1587,84
5 - 加百裕(3323),8,華南永昌,1603,1404,199
5 - 加百裕(3323),9,星洲瑞銀,1024,1671,-647
5 - 加百裕(3323),10,台新,1366,1242,124
6 - 信立(4303),1,元大,7348,5747,1601
6 - 信立(4303),2,凱基,2436,2796,-360
6 - 信立(4303),3,元富,2428,2452,-24
6 - 信立(4303),4,富邦,2466,1903,563
6 - 信立(4303),5,兆豐,1435,2808,-1373
6 - 信立(4303),6,永豐金,2025,1928,97
6 - 信立(4303),7,統一,1879,1849,30
6 - 信立(4303),8,群益,1494,1601,-107
6 - 信立(4303),9,華南永昌,1773,939,834
6 - 信立(4303),10,國泰綜合,1692,975,717
7 - 精確(3162),1,元大,5592,5802,-210
7 - 精確(3162),2,凱基,4501,4465,36
7 - 精確(3162),3,富邦,4016,3020,996
7 - 精確(3162),4,元富,1443,1454,-11
7 - 精確(3162),5,群益,1042,1086,-44
7 - 精確(3162),6,永豐金,993,1054,-61
7 - 精確(3162),7,台新,755,1103,-348
7 - 精確(3162),8,華南永昌,810,1026,-216
7 - 精確(3162),9,統一,1102,668,434
7 - 精確(3162),10,國票,842,866,-24
8 - 濱川(1569),1,元大,5180,5032,148
8 - 濱川(1569),2,凱基,3327,3046,281
8 - 濱川(1569),3,富邦,1835,1885,-50
8 - 濱川(1569),4,永豐金,1688,1909,-221
8 - 濱川(1569),5,國泰綜合,1554,1452,102
8 - 濱川(1569),6,群益,1396,1386,10
8 - 濱川(1569),7,華南永昌,1346,938,408
8 - 濱川(1569),8,兆豐,1097,1170,-73
8 - 濱川(1569),9,星洲瑞銀,999,772,227
8 - 濱川(1569),10,元富,814,843,-29
9 - 高端疫苗(6547),1,元大,4060,3300,760
9 - 高端疫苗(6547),2,富邦,1549,2367,-818
9 - 高端疫苗(6547),3,凱基,1158,1853,-695
9 - 高端疫苗(6547),4,國泰綜合,1499,959,540
9 - 高端疫苗(6547),5,永豐金,1175,1049,126
9 - 高端疫苗(6547),6,兆豐,621,579,42
9 - 高端疫苗(6547),7,元富,696,500,196
9 - 高端疫苗(6547),8,群益,654,512,142
9 - 高端疫苗(6547),9,星洲瑞銀,413,720,-307
9 - 高端疫苗(6547),10,台新,614,470,144
10 - 華星光(4979),1,元大,2788,2722,66
10 - 華星光(4979),2,凱基,1939,1271,668
10 - 華星光(4979),3,富邦,1311,1395,-84
10 - 華星光(4979),4,國泰綜合,935,1027,-92
10 - 華星光(4979),5,永豐金,822,819,3
10 - 華星光(4979),6,群益,694,813,-119
10 - 華星光(4979),7,兆豐,858,624,234
10 - 華星光(4979),8,元富,742,733,9
10 - 華星光(4979),9,台新,677,748,-71
10 - 華星光(4979),10,統一,501,570,-69
11 - 富喬(1815),1,元大,2469,2555,-86
11 - 富喬(1815),2,凱基,1295,1505,-210
11 - 富喬(1815),3,富邦,1215,964,251
11 - 富喬(1815),4,星洲瑞銀,400,1251,-851
11 - 富喬(1815),5,永豐金,799,734,65
11 - 富喬(1815),6,群益,748,678,70
11 - 富喬(1815),7,華南永昌,747,658,89
11 - 富喬(1815),8,國泰綜合,815,521,294
11 - 富喬(1815),9,元富,395,506,-111
11 - 富喬(1815),10,國票,484,270,214
12 - 世界(5347),1,凱基,3086,1889,1197
12 - 世界(5347),2,元大,1115,1751,-636
12 - 世界(5347),3,摩根士丹利,2271,90,2181
12 - 世界(5347),4,富邦,636,939,-303
12 - 世界(5347),5,永豐金,326,987,-661
12 - 世界(5347),6,星洲瑞銀,927,285,642
12 - 世界(5347),7,統一,442,738,-296
12 - 世界(5347),8,摩根大通,282,765,-483
12 - 世界(5347),9,群益,338,702,-364
12 - 世界(5347),10,元富,504,428,76
13 - 環宇-KY(4991),1,元大,2594,2237,357
13 - 環宇-KY(4991),2,凱基,1632,1427,205
13 - 環宇-KY(4991),3,群益,972,805,167
13 - 環宇-KY(4991),4,星洲瑞銀,99,1507,-1408
13 - 環宇-KY(4991),5,富邦,902,628,274
13 - 環宇-KY(4991),6,永豐金,656,659,-3
13 - 環宇-KY(4991),7,國泰綜合,737,544,193
13 - 環宇-KY(4991),8,統一,487,588,-101
13 - 環宇-KY(4991),9,元富,495,366,129
13 - 環宇-KY(4991),10,兆豐,475,348,127
14 - 中光電(5371),1,元大,1991,1697,294
14 - 中光電(5371),2,凱基,1103,1475,-372
14 - 中光電(5371),3,永豐金,909,1037,-128
14 - 中光電(5371),4,富邦,740,1170,-430
14 - 中光電(5371),5,群益,562,851,-289
14 - 中光電(5371),6,國泰綜合,648,448,200
14 - 中光電(5371),7,元富,528,502,26
14 - 中光電(5371),8,華南永昌,387,432,-45
14 - 中光電(5371),9,星洲瑞銀,340,421,-81
14 - 中光電(5371),10,統一,362,339,23
15 - 協易機(4533),1,元大,2030,1970,60
15 - 協易機(4533),2,富邦,815,900,-85
15 - 協易機(4533),3,凱基,766,804,-38
15 - 協易機(4533),4,星洲瑞銀,332,845,-513
15 - 協易機(4533),5,國泰綜合,650,482,168
15 - 協易機(4533),6,華南永昌,453,375,78
15 - 協易機(4533),7,永豐金,409,359,50
15 - 協易機(4533),8,摩根大通,221,515,-294
15 - 協易機(4533),9,群益,365,333,32
15 - 協易機(4533),10,台新,387,286,101
16 - 金雨(4503),1,元大,988,2326,-1338
16 - 金雨(4503),2,富邦,749,704,45
16 - 金雨(4503),3,凱基,840,397,443
16 - 金雨(4503),4,統一,853,234,619
16 - 金雨(4503),5,永豐金,451,431,20
16 - 金雨(4503),6,元富,374,335,39
16 - 金雨(4503),7,群益,353,351,2
16 - 金雨(4503),8,新光,523,126,397
16 - 金雨(4503),9,國泰綜合,275,299,-24
16 - 金雨(4503),10,國票,325,219,106
17 - 慶騰(4534),1,元大,1106,987,119
17 - 慶騰(4534),2,富邦,672,1154,-482
17 - 慶騰(4534),3,凱基,799,785,14
17 - 慶騰(4534),4,元富,514,602,-88
17 - 慶騰(4534),5,華南永昌,512,439,73
17 - 慶騰(4534),6,群益,398,537,-139
17 - 慶騰(4534),7,永豐金,353,401,-48
17 - 慶騰(4534),8,統一,250,357,-107
17 - 慶騰(4534),9,摩根大通,273,196,77
17 - 慶騰(4534),10,國泰綜合,211,207,4
18 - 磐儀(3594),1,元大,1423,1325,98
18 - 磐儀(3594),2,凱基,574,1193,-619
18 - 磐儀(3594),3,華南永昌,686,465,221
18 - 磐儀(3594),4,永豐金,541,495,46
18 - 磐儀(3594),5,富邦,587,315,272
18 - 磐儀(3594),6,國泰綜合,534,273,261
18 - 磐儀(3594),7,星洲瑞銀,129,566,-437
18 - 磐儀(3594),8,群益,360,328,32
18 - 磐儀(3594),9,統一,257,336,-79
18 - 磐儀(3594),10,玉山證券,286,156,130
19 - 欣銓(3264),1,元大,1345,1123,222
