排行 - 股票名稱(代號),排行,證券商名稱,總買量(張),總賣量(張),剩餘量(張)
1 - 富喬(1815),1,元大,11478,9560,1918
1 - 富喬(1815),2,凱基,3735,8807,-5072
1 - 富喬(1815),3,群益,2968,4972,-2004
1 - 富喬(1815),4,富邦,4621,2520,2101
1 - 富喬(1815),5,星洲瑞銀,2351,2981,-630
1 - 富喬(1815),6,國泰綜合,3292,1944,1348
1 - 富喬(1815),7,永豐金,2638,2325,313
1 - 富喬(1815),8,華南永昌,2078,1620,458
1 - 富喬(1815),9,統一,1730,1551,179
1 - 富喬(1815),10,國票,1093,1609,-516
2 - 擎亞(8096),1,元大,5251,4902,349
2 - 擎亞(8096),2,富邦,3402,1800,1602
2 - 擎亞(8096),3,永豐金,1826,3233,-1407
2 - 擎亞(8096),4,統一,1668,2429,-761
2 - 擎亞(8096),5,凱基,1588,2392,-804
2 - 擎亞(8096),6,國泰綜合,1218,1693,-475
2 - 擎亞(8096),7,群益,1398,1225,173
2 - 擎亞(8096),8,華南永昌,932,1647,-715
2 - 擎亞(8096),9,國票,958,742,216
2 - 擎亞(8096),10,台新,876,711,165
3 - 高鋒(4510),1,元大,6197,4805,1392
3 - 高鋒(4510),2,凱基,2890,3717,-827
3 - 高鋒(4510),3,群益,1615,1994,-379
3 - 高鋒(4510),4,國泰綜合,1765,1258,507
3 - 高鋒(4510),5,富邦,1730,1257,473
3 - 高鋒(4510),6,永豐金,1441,1242,199
3 - 高鋒(4510),7,星洲瑞銀,829,1775,-946
3 - 高鋒(4510),8,台新,1112,859,253
3 - 高鋒(4510),9,華南永昌,987,918,69
3 - 高鋒(4510),10,元富,899,696,203
4 - 信立(4303),1,元大,4467,3770,697
4 - 信立(4303),2,凱基,1734,2013,-279
4 - 信立(4303),3,富邦,1743,980,763
4 - 信立(4303),4,永豐金,1303,1326,-23
4 - 信立(4303),5,群益,1123,979,144
4 - 信立(4303),6,華南永昌,1111,987,124
4 - 信立(4303),7,統一,336,1613,-1277
4 - 信立(4303),8,國泰綜合,1048,751,297
